OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Lifespan,Adaptability,Size
Adoption,Unknown,Dog,Neutered Male,365,Manchester Terrier,Black/Tan,5840,5,Small
Adoption,Unknown,Dog,Neutered Male,120,Anatol Shepherd,Sable/White,5110,2,Large
Adoption,Unknown,Dog,Spayed Female,1095,Australian Cattle Dog,Black/White,5475,3,Medium
Euthanasia,Aggressive,Dog,Intact Male,730,Pit Bull,Blue,5475,3,Large
Return_to_owner,Unknown,Dog,Intact Female,365,Pekingese,White/Tan,5475,5,Small
Transfer,Partner,Dog,Intact Female,30,Pit Bull,White/Chocolate,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,730,Pit Bull,Black/White,5475,3,Large
Transfer,Partner,Cat,Neutered Male,2555,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2190,Pit Bull,Brown Brindle/White,5475,3,Large
Return_to_owner,Unknown,Dog,Spayed Female,365,Pit Bull,Brown,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,365,Pit Bull,Tan,5475,3,Large
Transfer,Partner,Cat,Unknown,7,Domestic Shorthair,White,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,30,Domestic Medium Hair,Torbie/White,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,1825,Labrador Retriever,Black,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,1825,Domestic Shorthair,Blue Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2920,Beagle,Tricolor,5475,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,30,Pit Bull,Blue/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,730,Labrador Retriever,Black/White,4745,5,Medium
Transfer,Partner,Cat,Neutered Male,365,Domestic Medium Hair,Blue Tabby/White,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Toy Poodle,White,5475,4,Small
Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair,Blue,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,365,Pit Bull,Red/White,5475,3,Large
Return_to_owner,Unknown,Dog,Neutered Male,730,Labrador Retriever,White/Brown,4745,5,Medium
Adoption,Foster,Cat,Neutered Male,90,Manx,Blue Tabby,5110,5,Medium to Large
Adoption,Unknown,Dog,Spayed Female,1825,Chihuahua Shorthair,Tan,6570,5,Small
Adoption,Unknown,Cat,Spayed Female,210,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Black,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Tortie/White,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,180,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Dog,Intact Male,1460,German Shepherd,Brown/Black,4380,5,Medium to Large
Adoption,Unknown,Cat,Spayed Female,365,Domestic Shorthair,Blue/White,6205,5,Medium
Transfer,Partner,Cat,Intact Male,90,Siamese,Seal Point,5475,5,Medium
Adoption,Unknown,Dog,Spayed Female,60,Chihuahua Shorthair,Chocolate/Brown,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,730,Pit Bull,Fawn/White,5475,3,Large
Transfer,Partner,Cat,Unknown,7,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,730,Catahoula,Brown Merle/White,5110,3,Large
Transfer,SCRP,Cat,Neutered Male,180,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1460,Maltese,Black/Gray,6570,5,Small
Euthanasia,Suffering,Cat,Intact Male,30,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,730,Domestic Shorthair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Basset Hound,Tricolor,5475,5,Medium
Transfer,Partner,Dog,Neutered Male,2555,Pit Bull,Blue/White,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,365,Labrador Retriever,Black,4745,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2920,Labrador Retriever,Black/White,4745,5,Medium
Transfer,Partner,Dog,Intact Female,365,Pekingese,White/Tan,5475,5,Small
Euthanasia,Aggressive,Dog,Intact Male,730,Catahoula,Yellow/White,5110,3,Large
Euthanasia,Aggressive,Dog,Neutered Male,1825,Pit Bull,Tan/Black,5475,3,Large
Transfer,SCRP,Cat,Intact Female,90,Domestic Medium Hair,Gray/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,60,Labrador Retriever,Chocolate/White,4745,5,Medium
Euthanasia,Aggressive,Dog,Intact Male,365,Pointer,White/Black,5475,5,Medium
Euthanasia,Medical,Cat,Neutered Male,1095,Domestic Longhair,Brown Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1095,Miniature Poodle,White/Apricot,4745,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,730,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Dog,Intact Female,1095,Pit Bull,Brown/White,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,60,Siamese,Lynx Point,5475,5,Medium
Transfer,Partner,Dog,Intact Female,35,Pit Bull,White/Blue,5475,3,Large
Return_to_owner,Unknown,Dog,Spayed Female,730,Pit Bull,Blue,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,90,Snowshoe,Seal Point,6935,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,365,Jack Russell Terrier,White/Brown,5840,5,Small
Adoption,Unknown,Dog,Neutered Male,365,Pekingese,White/Buff,5475,5,Small
Transfer,Partner,Dog,Intact Female,30,Dachshund Wirehair,Sable,5110,5,Small
Transfer,Partner,Cat,Intact Male,7,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Cat,Intact Female,14,Siamese,Seal Point,5475,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,2920,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Pit Bull,Brown Brindle/White,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,730,Boxer,Red/Black,4380,4,Medium
Adoption,Unknown,Dog,Neutered Male,365,Black Mouth Cur,Brown/Black,5840,4,Medium to Large
Euthanasia,Suffering,Dog,Intact Female,365,Labrador Retriever,Yellow,4745,5,Medium
Adoption,Unknown,Dog,Neutered Male,2190,Siberian Husky,Sable/White,5110,5,Medium
Euthanasia,Court/Investigation,Dog,Intact Male,2555,Pit Bull,Fawn,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,90,Anatol Shepherd,Sable,5110,2,Large
Return_to_owner,Unknown,Dog,Spayed Female,365,American Bulldog,White/Brown Brindle,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Black,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,365,Harrier,Brown Brindle/White,4380,3,Medium
Return_to_owner,Unknown,Dog,Neutered Male,210,German Shepherd,Black/Tan,4380,5,Medium to Large
Adoption,Unknown,Dog,Neutered Male,1460,Border Terrier,Tan/Gray,5475,5,Small
Transfer,Partner,Dog,Intact Male,150,Pit Bull,Blue,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,120,Domestic Shorthair,Blue,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,30,Siberian Husky,Black/White,5110,5,Medium
Adoption,Offsite,Dog,Neutered Male,60,Rottweiler,Sable,365,3,Medium to Large
Transfer,Partner,Dog,Intact Male,30,Pit Bull,White/Brown,5475,3,Large
Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair,Torbie,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Torbie,6205,5,Medium
Euthanasia,Suffering,Dog,Intact Female,150,Pit Bull,Black/White,5475,3,Large
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Tortie,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,150,Pit Bull,Black/White,5475,3,Large
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Torbie,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,2555,Miniature Schnauzer,Silver/White,5475,5,Small
Euthanasia,Suffering,Dog,Intact Male,1095,Chihuahua Shorthair,Fawn,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,1825,Pit Bull,Black/White,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,365,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Cat,Intact Male,60,Domestic Shorthair,Black,6205,5,Medium
Euthanasia,Behavior,Dog,Intact Male,1460,Cavalier Span,White/Brown,4380,5,Small
Adoption,Foster,Dog,Spayed Female,60,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair,Blue Tabby,6205,5,Medium
Euthanasia,Suffering,Dog,Intact Female,150,Pit Bull,Black,5475,3,Large
Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair,White/Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Dachshund,Black/Tan,5110,5,Small
Transfer,Partner,Dog,Neutered Male,730,Staffordshire,Chocolate/White,5110,3,Medium
Transfer,Partner,Cat,Intact Female,365,Domestic Shorthair,Lynx Point,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Black Mouth Cur,Red,5840,4,Medium to Large
Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,730,Rat Terrier,Brown/White,6570,5,Small
Euthanasia,Aggressive,Dog,Neutered Male,3285,Labrador Retriever,Red,4745,5,Medium
Transfer,Partner,Dog,Spayed Female,365,Labrador Retriever,Tan/White,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,180,Domestic Shorthair,Calico,6205,5,Medium
Transfer,Partner,Cat,Unknown,21,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Tortie,6205,5,Medium
Transfer,Partner,Dog,Intact Male,180,Anatol Shepherd,Tricolor/Tan,5110,2,Large
Adoption,Unknown,Dog,Neutered Male,30,Pit Bull,Fawn/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,150,Chihuahua Shorthair,Sable,6570,5,Small
Transfer,SCRP,Cat,Intact Male,365,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,SCRP,Cat,Intact Male,365,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Pointer,Black/White,5475,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Great Pyrenees,White,4380,4,Giant
Return_to_owner,Unknown,Dog,Neutered Male,365,Pit Bull,Brown Brindle/White,5475,3,Large
Transfer,Partner,Dog,Neutered Male,365,Norwich Terrier,Brown,5475,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,365,Shetland Sheepdog,Brown/White,5110,5,Medium
Euthanasia,Suffering,Cat,Spayed Female,365,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Pit Bull,Tan/White,5475,3,Large
Transfer,Partner,Dog,Spayed Female,210,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,1825,Akita,White,4380,5,Large
Transfer,Partner,Dog,Intact Female,60,Labrador Retriever,Brown/Black,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Beagle,Tan/White,5475,5,Small
Transfer,Partner,Cat,Neutered Male,2920,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,2190,Domestic Medium Hair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,90,Anatol Shepherd,Yellow,5110,2,Large
Adoption,Foster,Cat,Spayed Female,90,Domestic Shorthair,Black,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,1095,Dogo Argentino,White/Black,4380,3,Large
Adoption,Unknown,Cat,Spayed Female,60,Domestic Medium Hair,Black,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,Cream Tabby,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1095,Pit Bull,Tan/White,5475,3,Large
Transfer,Partner,Cat,Intact Male,21,Domestic Medium Hair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,1095,Pit Bull,Tan/White,5475,3,Large
Transfer,Partner,Dog,Intact Female,2920,Chihuahua Shorthair,Tricolor,6570,5,Small
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,White/Brown Tabby,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,210,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,150,Pit Bull,Red/White,5475,3,Large
Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair,White/Blue Tabby,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Cat,Unknown,28,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,1095,German Shepherd,Black/Tan,4380,5,Medium to Large
Adoption,Unknown,Dog,Spayed Female,730,Beagle,White/Brown Brindle,5475,5,Small
Transfer,Partner,Dog,Spayed Female,730,Weimaraner,Blue,4380,5,Medium to Large
Adoption,Unknown,Cat,Neutered Male,90,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,120,Domestic Shorthair,Black Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,240,Pit Bull,White,5475,3,Large
Adoption,Unknown,Dog,Intact Male,150,Pit Bull,White/Black,5475,3,Large
Adoption,Unknown,Cat,Spayed Female,120,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,3285,Shih Tzu,White/Tan,5110,5,Small
Transfer,Partner,Cat,Intact Female,730,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,60,German Shepherd,Red,4380,5,Medium to Large
Adoption,Unknown,Dog,Spayed Female,730,Norfolk Terrier,Tan,5475,5,Small
Transfer,Partner,Cat,Spayed Female,60,Domestic Medium Hair,Black/White,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,365,Cardigan Welsh Corgi,Brown,5110,5,Medium
Transfer,Partner,Dog,Intact Female,2920,Dachshund,Red,5110,5,Small
Adoption,Unknown,Dog,Neutered Male,730,Pit Bull,Tan,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,60,Labrador Retriever,Black,4745,5,Medium
Died,In Kennel,Cat,Spayed Female,1095,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Golden Retriever,Gold/Tan,4745,5,Medium to Large
Euthanasia,Behavior,Dog,Neutered Male,730,Pit Bull,Black/White,5475,3,Large
Return_to_owner,Unknown,Cat,Spayed Female,365,Domestic Medium Hair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1095,Lhasa Apso,Black/White,5475,5,Small
Adoption,Unknown,Dog,Spayed Female,240,Shetland Sheepdog,Brown Brindle,5110,5,Medium
Euthanasia,Suffering,Cat,Intact Female,365,Domestic Shorthair,Calico,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,1095,Pit Bull,Red/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,240,Chow Chow,Buff/Tan,5110,2,Medium
Transfer,SCRP,Cat,Neutered Male,1095,Domestic Shorthair,White/Gray,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,30,Pit Bull,Tan/White,5475,3,Large
Transfer,Partner,Cat,Intact Female,730,Domestic Shorthair,Calico,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,2190,American Bulldog,White/Black,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,365,Norfolk Terrier,Tan/White,5475,5,Small
Adoption,Unknown,Dog,Spayed Female,365,Cardigan Welsh Corgi,White,5110,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,2555,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,180,Chihuahua Shorthair,Black/Tricolor,6570,5,Small
Return_to_owner,Unknown,Dog,Intact Male,365,Weimaraner,Fawn/White,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Spayed Female,3285,American Staffordshire Terrier,Sable/White,5110,3,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1460,Chihuahua Longhair,Cream,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,240,German Shepherd,Black/Tan,4380,5,Medium to Large
Adoption,Unknown,Cat,Neutered Male,60,Domestic Medium Hair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,1095,Basenji,Tan/White,4380,2,Medium
Adoption,Foster,Dog,Spayed Female,60,Australian Cattle Dog,Red Tick/White,5475,3,Medium
Transfer,Partner,Cat,Spayed Female,60,Domestic Medium Hair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,2190,Australian Cattle Dog,Red,5475,3,Medium
Transfer,Partner,Dog,Neutered Male,1095,Miniature Poodle,White,4745,5,Small
Transfer,Partner,Dog,Spayed Female,180,German Shepherd,Brown/Black,4380,5,Medium to Large
Transfer,Partner,Cat,Intact Female,14,Domestic Shorthair,Cream Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,2190,Australian Shepherd,Tan,5475,5,Medium
Euthanasia,Behavior,Dog,Intact Male,1825,Siberian Husky,Brown Brindle/White,5110,5,Medium
Euthanasia,Aggressive,Dog,Intact Male,365,Pit Bull,Tan/White,5475,3,Large
Adoption,Foster,Dog,Spayed Female,2190,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Foster,Dog,Neutered Male,240,Siberian Husky,Sable,5110,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Doberman Pinsch,Black/Red,4380,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1825,Chihuahua Shorthair,Tan/White,6570,5,Small
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Euthanasia,Suffering,Dog,Neutered Male,365,German Shepherd,Brown/Black,4380,5,Medium to Large
Transfer,Partner,Dog,Intact Female,270,Chihuahua Shorthair,Sable,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,2190,Jack Russell Terrier,Brown/White,5840,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,2190,Pit Bull,Brown Brindle/White,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,1095,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Female,14,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,1095,Miniature Poodle,White,4745,5,Small
Transfer,SCRP,Cat,Intact Female,150,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,60,Domestic Medium Hair,Blue Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,365,Miniature Poodle,White/Black,4745,5,Small
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,White/Blue,6205,5,Medium
Transfer,Partner,Cat,Intact Female,21,Domestic Longhair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,White/Black,6205,5,Medium
Transfer,Partner,Dog,Intact Male,365,Chihuahua Shorthair,Tricolor,6570,5,Small
Adoption,Unknown,Cat,Neutered Male,1095,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Tan,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,Brown/White,6570,5,Small
Transfer,Partner,Cat,Neutered Male,2190,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,365,Boxer,White/Black,4380,4,Medium
Transfer,Partner,Dog,Intact Female,120,Australian Cattle Dog,Red Tick/White,5475,3,Medium
Return_to_owner,Unknown,Dog,Intact Male,60,Miniature Schnauzer,Gray,5475,5,Small
Adoption,Unknown,Cat,Spayed Female,90,Domestic Longhair,Tortie,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Female,150,Pit Bull,White/Blue,5475,3,Large
Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,120,Labrador Retriever,Black/White,4745,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Boston Terrier,Black/White,5475,5,Small
Transfer,Partner,Dog,Intact Male,30,Chihuahua Shorthair,Cream,6570,5,Small
Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Cat,Intact Female,42,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Labrador Retriever,Black,4745,5,Medium
Adoption,Offsite,Cat,Neutered Male,60,Domestic Medium Hair,Cream Tabby,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Labrador Retriever,Yellow,4745,5,Medium
Return_to_owner,Unknown,Dog,Intact Female,365,Labrador Retriever,Black/White,4745,5,Medium
Transfer,Partner,Cat,Intact Female,14,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Intact Female,365,Chihuahua Shorthair,Black/Tan,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,1460,Yorkshire Terrier,Black,5840,5,Small
Return_to_owner,Unknown,Cat,Neutered Male,730,Domestic Longhair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Jack Russell Terrier,White/Brown,5840,5,Small
Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,30,Chihuahua Shorthair,Tan/White,6570,5,Small
Transfer,SCRP,Cat,Intact Female,730,Domestic Longhair,Brown Tabby,6205,5,Medium
Euthanasia,Suffering,Dog,Neutered Male,365,Pug,Gold/Gold,5475,5,Small
Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,SCRP,Cat,Unknown,365,Domestic Shorthair,Black,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,730,Australian Cattle Dog,Red Tick/White,5475,3,Medium
Adoption,Unknown,Cat,Intact Male,120,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Transfer,Partner,Dog,Intact Female,730,Chihuahua Longhair,Red,6570,5,Small
Transfer,Partner,Cat,Spayed Female,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,1095,Bombay,Black,5840,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Papillon,Black/White,5840,5,Small
Adoption,Foster,Dog,Neutered Male,90,American Bulldog,Tan/White,5475,3,Large
Transfer,Partner,Dog,Intact Female,60,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Buff,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,150,Pit Bull,Black/White,5475,3,Large
Transfer,Partner,Cat,Intact Male,30,Domestic Shorthair,Blue Tabby,6205,5,Medium
Transfer,SCRP,Cat,Intact Male,365,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1095,Pit Bull,White/Blue,5475,3,Large
Adoption,Foster,Cat,Neutered Male,120,Domestic Shorthair,Black Smoke,6205,5,Medium
Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Great Pyrenees,White/Tan,4380,4,Giant
Adoption,Unknown,Cat,Spayed Female,180,Domestic Shorthair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1460,Miniature Schnauzer,Gray/White,5475,5,Small
Transfer,Partner,Dog,Intact Male,365,Chihuahua Shorthair,Brown/Gray,6570,5,Small
Adoption,Foster,Cat,Intact Male,30,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Black,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,90,Domestic Shorthair,Black,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,30,Dachshund,Black/White,5110,5,Small
Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Chihuahua Shorthair,Yellow,6570,5,Small
Euthanasia,Suffering,Cat,Intact Male,365,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,1095,Domestic Longhair,Blue Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,1095,Jack Russell Terrier,Tan/White,5840,5,Small
Adoption,Unknown,Cat,Spayed Female,90,Domestic Medium Hair,Black,6205,5,Medium
Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1460,Dachshund,Black/Tan,5110,5,Small
Adoption,Unknown,Cat,Spayed Female,365,Domestic Medium Hair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Pit Bull,Brown Brindle/White,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Blue Tabby,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,1095,Pug,Fawn/Black,5475,5,Small
Adoption,Unknown,Dog,Spayed Female,60,Cocker Spaniel,White/Tan,5110,5,Medium
Adoption,Unknown,Dog,Spayed Female,180,Catahoula,Tan/White,5110,3,Large
Adoption,Unknown,Cat,Spayed Female,365,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1095,Chihuahua Shorthair,Brown Brindle,6570,5,Small
Adoption,Foster,Dog,Spayed Female,30,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,365,Domestic Shorthair,White/Brown Tabby,6205,5,Medium
Transfer,Partner,Cat,Neutered Male,365,Maine Coon,Orange Tabby,5475,5,Largest
Transfer,Partner,Dog,Spayed Female,730,Labrador Retriever,Red,4745,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Pit Bull,Blue/White,5475,3,Large
Adoption,Unknown,Cat,Spayed Female,2190,Snowshoe,Tortie Point/White,6935,5,Medium
Adoption,Unknown,Dog,Neutered Male,365,Saluki,Yellow/White,5110,5,Large
Adoption,Unknown,Dog,Neutered Male,730,German Shepherd,Black/Tan,4380,5,Medium to Large
